timestamp,asset,result,attempt
2025-06-30 16:20:06,BTC/USDT,W,2.0
2025-06-30 16:26:06,ETH/USDT,L,
2025-06-30 16:33:06,BTC/USDT,W,2.0
2025-06-30 16:37:06,ETH/USDT,W,2.0
2025-06-30 16:39:06,ETH/USDT,W,1.0
2025-06-30 16:44:07,ETH/USDT,W,2.0
2025-06-30 16:47:06,ETH/USDT,W,1.0
2025-06-30 16:53:06,ETH/USDT,L,
2025-06-30 16:55:06,BTC/USDT,W,1.0
2025-06-30 16:57:06,BTC/USDT,W,1.0
2025-06-30 17:01:06,BTC/USDT,W,2.0
2025-06-30 17:03:06,BTC/USDT,W,1.0
2025-06-30 17:07:06,ETH/USDT,W,2.0
2025-06-30 17:09:05,BTC/USDT,W,1.0
2025-06-30 17:11:06,BTC/USDT,W,1.0
2025-06-30 17:15:06,BTC/USDT,W,2.0
2025-06-30 17:19:06,ETH/USDT,W,2.0
2025-06-30 17:22:06,BTC/USDT,W,1.0
2025-06-30 17:24:06,BTC/USDT,W,1.0
2025-06-30 17:26:06,BTC/USDT,W,1.0
2025-06-30 17:31:06,ETH/USDT,W,1.0
2025-06-30 17:35:06,ETH/USDT,W,2.0
2025-06-30 17:39:06,BTC/USDT,W,2.0
2025-06-30 17:45:06,ETH/USDT,L,
2025-06-30 17:47:06,ETH/USDT,W,1.0
2025-06-30 17:49:06,ETH/USDT,W,1.0
2025-06-30 17:51:06,ETH/USDT,W,1.0
2025-06-30 17:57:06,ETH/USDT,L,
2025-06-30 18:01:06,ETH/USDT,W,2.0
2025-06-30 18:05:06,ETH/USDT,W,2.0
2025-06-30 18:07:06,ETH/USDT,W,1.0
2025-06-30 18:09:06,BTC/USDT,W,1.0
2025-06-30 18:11:06,BTC/USDT,W,1.0
2025-06-30 18:15:06,ETH/USDT,W,2.0
2025-06-30 18:19:06,ETH/USDT,W,2.0
2025-06-30 18:21:06,BTC/USDT,W,1.0
2025-06-30 18:23:06,BTC/USDT,W,1.0
2025-06-30 18:25:05,BTC/USDT,W,1.0
2025-06-30 18:32:06,ETH/USDT,L,
2025-06-30 18:36:05,ETH/USDT,W,1.0
2025-06-30 18:40:06,BTC/USDT,W,2.0
2025-06-30 18:42:06,BTC/USDT,W,1.0
2025-06-30 18:44:06,BTC/USDT,W,1.0
2025-06-30 18:46:06,BTC/USDT,W,1.0
2025-06-30 18:52:07,BTC/USDT,L,
2025-06-30 18:54:06,BTC/USDT,W,1.0
2025-06-30 19:00:07,ETH/USDT,L,
2025-06-30 19:04:06,ETH/USDT,W,2.0
2025-06-30 19:12:06,ETH/USDT,L,
2025-06-30 19:16:06,ETH/USDT,W,1.0
2025-06-30 19:20:06,ETH/USDT,W,2.0
2025-06-30 19:24:06,ETH/USDT,W,2.0
2025-06-30 19:37:06,BTC/USDT,L,
2025-06-30 19:39:05,BTC/USDT,W,1.0
2025-06-30 19:41:06,BTC/USDT,W,1.0
2025-06-30 19:46:06,BTC/USDT,W,2.0
2025-06-30 19:48:06,BTC/USDT,W,1.0
2025-06-30 19:54:06,ETH/USDT,W,2.0
2025-06-30 20:00:07,BTC/USDT,L,
2025-06-30 20:06:06,ETH/USDT,L,
2025-06-30 20:10:06,ETH/USDT,W,2.0
2025-06-30 20:12:06,ETH/USDT,W,1.0
2025-06-30 20:22:07,BTC/USDT,W,2.0
2025-06-30 20:24:05,BTC/USDT,W,1.0
2025-06-30 20:26:05,BTC/USDT,W,1.0
2025-06-30 20:32:06,BTC/USDT,L,
2025-06-30 20:36:06,BTC/USDT,W,2.0
2025-06-30 20:40:06,BTC/USDT,W,2.0
2025-06-30 20:46:06,BTC/USDT,L,
2025-06-30 20:52:06,BTC/USDT,L,
2025-06-30 20:56:06,BTC/USDT,W,2.0
2025-06-30 21:06:06,BTC/USDT,W,2.0
2025-06-30 21:18:07,ETH/USDT,L,
2025-06-30 21:20:06,BTC/USDT,W,1.0
2025-06-30 21:22:05,BTC/USDT,W,1.0
2025-06-30 21:24:05,BTC/USDT,W,1.0
2025-06-30 21:27:06,ETH/USDT,W,1.0
2025-06-30 21:29:06,ETH/USDT,W,1.0
2025-06-30 21:31:06,ETH/USDT,W,1.0
2025-06-30 21:37:06,ETH/USDT,L,
2025-06-30 21:42:07,ETH/USDT,W,2.0
2025-06-30 21:45:06,ETH/USDT,W,1.0
2025-06-30 21:49:06,BTC/USDT,W,2.0
2025-06-30 21:54:07,BTC/USDT,W,2.0
2025-06-30 22:05:07,BTC/USDT,W,2.0
2025-06-30 22:09:06,BTC/USDT,W,2.0
2025-06-30 22:12:06,BTC/USDT,W,1.0
2025-06-30 22:21:06,BTC/USDT,L,
2025-06-30 22:25:06,BTC/USDT,W,2.0
2025-06-30 22:27:06,BTC/USDT,W,1.0
2025-06-30 22:32:06,ETH/USDT,W,2.0
2025-06-30 22:36:07,BTC/USDT,W,2.0
2025-06-30 22:38:06,ETH/USDT,W,1.0
2025-06-30 22:42:06,ETH/USDT,W,2.0
2025-06-30 22:47:06,BTC/USDT,W,1.0
2025-06-30 22:49:06,BTC/USDT,W,1.0
2025-06-30 22:52:06,BTC/USDT,W,1.0
2025-06-30 22:55:05,BTC/USDT,W,1.0
2025-06-30 22:59:06,BTC/USDT,W,2.0
2025-06-30 23:14:06,BTC/USDT,W,2.0
2025-06-30 23:17:06,BTC/USDT,W,1.0
2025-06-30 23:21:06,BTC/USDT,W,2.0
2025-06-30 23:25:07,BTC/USDT,W,2.0
2025-06-30 23:27:05,BTC/USDT,W,1.0
2025-06-30 23:31:06,ETH/USDT,W,2.0
2025-06-30 23:33:06,BTC/USDT,W,1.0
2025-06-30 23:35:06,ETH/USDT,W,1.0
2025-06-30 23:39:06,BTC/USDT,W,2.0
2025-06-30 23:41:05,ETH/USDT,W,1.0
2025-06-30 23:43:05,BTC/USDT,W,1.0
2025-06-30 23:45:05,ETH/USDT,W,1.0
2025-06-30 23:47:06,BTC/USDT,W,1.0
2025-06-30 23:50:05,BTC/USDT,W,1.0
2025-06-30 23:52:06,BTC/USDT,W,1.0
2025-06-30 23:56:07,ETH/USDT,W,2.0
2025-06-30 23:58:06,BTC/USDT,W,1.0
