timestamp,asset,result,attempt
2025-06-29 06:02:06,SOL/USDT,W,1.0
2025-06-29 06:08:06,XRP/USDT,L,
2025-06-29 06:10:06,XRP/USDT,W,1.0
2025-06-29 06:20:06,BTC/USDT,W,2.0
2025-06-29 06:24:06,XRP/USDT,W,1.0
2025-06-29 06:26:06,BTC/USDT,W,1.0
2025-06-29 06:30:06,XRP/USDT,W,1.0
2025-06-29 06:36:07,SOL/USDT,L,
2025-06-29 06:45:06,BTC/USDT,W,2.0
2025-06-29 06:51:06,BTC/USDT,L,
2025-06-29 07:01:06,ADA/USDT,W,2.0
2025-06-29 07:03:06,XRP/USDT,W,1.0
2025-06-29 07:05:06,BTC/USDT,W,1.0
2025-06-29 07:13:06,ADA/USDT,W,2.0
2025-06-29 07:17:06,BTC/USDT,W,1.0
2025-06-29 07:29:05,ADA/USDT,W,1.0
2025-06-29 07:35:06,XRP/USDT,W,2.0
2025-06-29 07:41:06,ADA/USDT,L,
2025-06-29 07:43:06,BTC/USDT,W,1.0
2025-06-29 07:45:06,ADA/USDT,W,1.0
2025-06-29 07:47:06,BTC/USDT,W,1.0
2025-06-29 07:49:06,ADA/USDT,W,1.0
2025-06-29 07:51:05,ADA/USDT,W,1.0
2025-06-29 07:59:06,ADA/USDT,L,
2025-06-29 08:11:06,SOL/USDT,L,
2025-06-29 08:15:06,ADA/USDT,W,2.0
2025-06-29 08:17:05,XRP/USDT,W,1.0
2025-06-29 08:23:06,SOL/USDT,L,
2025-06-29 08:29:06,ADA/USDT,W,2.0
2025-06-29 08:33:06,SOL/USDT,W,2.0
2025-06-29 08:45:06,SOL/USDT,L,
2025-06-29 08:47:05,ADA/USDT,W,1.0
2025-06-29 08:51:06,SOL/USDT,W,1.0
2025-06-29 08:57:06,BTC/USDT,L,
2025-06-29 09:01:06,BTC/USDT,W,1.0
2025-06-29 09:05:07,BTC/USDT,W,2.0
2025-06-29 09:07:05,BTC/USDT,W,1.0
2025-06-29 09:13:06,SOL/USDT,L,
2025-06-29 09:15:05,SOL/USDT,W,1.0
2025-06-29 09:17:06,BTC/USDT,W,1.0
2025-06-29 09:23:06,XRP/USDT,L,
2025-06-29 09:29:06,XRP/USDT,L,
2025-06-29 09:34:06,XRP/USDT,W,1.0
2025-06-29 09:36:06,XRP/USDT,W,1.0
2025-06-29 09:42:06,XRP/USDT,L,
2025-06-29 09:46:07,BTC/USDT,W,2.0
2025-06-29 09:52:06,SOL/USDT,W,1.0
2025-06-29 09:54:06,SOL/USDT,W,1.0
2025-06-29 09:56:06,SOL/USDT,W,1.0
2025-06-29 10:00:07,SOL/USDT,W,2.0
2025-06-29 10:04:07,ADA/USDT,W,2.0
2025-06-29 10:10:06,XRP/USDT,L,
2025-06-29 10:16:06,XRP/USDT,L,
2025-06-29 10:22:06,XRP/USDT,L,
2025-06-29 10:24:06,BTC/USDT,W,1.0
2025-06-29 10:26:05,SOL/USDT,W,1.0
2025-06-29 10:30:06,XRP/USDT,W,2.0
2025-06-29 10:36:06,BTC/USDT,L,
2025-06-29 10:38:05,SOL/USDT,W,1.0
2025-06-29 10:40:05,SOL/USDT,W,1.0
2025-06-29 10:42:06,SOL/USDT,W,1.0
2025-06-29 10:46:06,XRP/USDT,W,2.0
2025-06-29 10:54:06,ADA/USDT,L,
2025-06-29 11:00:07,ADA/USDT,L,
2025-06-29 11:06:07,XRP/USDT,W,2.0
2025-06-29 11:12:06,ADA/USDT,L,
2025-06-29 11:14:06,ADA/USDT,W,1.0
2025-06-29 11:21:06,BTC/USDT,W,2.0
2025-06-29 11:23:06,BTC/USDT,W,1.0
2025-06-29 11:27:06,ADA/USDT,W,2.0
2025-06-29 11:29:06,BTC/USDT,W,1.0
2025-06-29 11:33:06,BTC/USDT,W,2.0
2025-06-29 11:39:06,ETH/USDT,L,
2025-06-29 11:43:07,XRP/USDT,W,2.0
2025-06-29 11:49:06,ADA/USDT,L,
2025-06-29 11:53:07,ADA/USDT,W,2.0
2025-06-29 11:55:06,ETH/USDT,W,1.0
2025-06-29 11:59:06,ETH/USDT,W,2.0
2025-06-29 12:05:06,ADA/USDT,W,2.0
2025-06-29 12:09:06,ADA/USDT,W,2.0
2025-06-29 12:17:07,ADA/USDT,L,
2025-06-29 12:23:06,ADA/USDT,L,
2025-06-29 12:25:06,SOL/USDT,W,1.0
2025-06-29 12:29:06,SOL/USDT,W,2.0
2025-06-29 12:35:06,ADA/USDT,L,
2025-06-29 12:39:06,SOL/USDT,W,2.0
2025-06-29 12:45:07,XRP/USDT,L,
2025-06-29 12:49:06,ADA/USDT,W,2.0
2025-06-29 12:55:07,SOL/USDT,L,
2025-06-29 12:57:06,SOL/USDT,W,1.0
2025-06-29 13:01:06,ADA/USDT,W,2.0
2025-06-29 13:05:06,ADA/USDT,W,2.0
2025-06-29 13:07:05,BTC/USDT,W,1.0
2025-06-29 13:11:06,ETH/USDT,W,2.0
2025-06-29 13:15:06,BTC/USDT,W,2.0
2025-06-29 13:19:06,SOL/USDT,W,1.0
2025-06-29 13:23:06,BTC/USDT,W,1.0
2025-06-29 13:25:05,SOL/USDT,W,1.0
2025-06-29 13:31:07,BTC/USDT,L,
2025-06-29 13:39:06,XRP/USDT,L,
2025-06-29 13:45:07,SOL/USDT,L,
2025-06-29 13:47:06,SOL/USDT,W,1.0
2025-06-29 13:49:06,SOL/USDT,W,1.0
2025-06-29 13:55:06,BTC/USDT,W,2.0
2025-06-29 13:57:06,BTC/USDT,W,1.0
2025-06-29 13:59:06,BTC/USDT,W,1.0
2025-06-29 14:07:06,SOL/USDT,L,
2025-06-29 14:11:06,XRP/USDT,W,2.0
2025-06-29 14:17:06,SOL/USDT,L,
2025-06-29 14:23:06,SOL/USDT,L,
2025-06-29 14:27:06,XRP/USDT,W,2.0
2025-06-29 14:33:06,ADA/USDT,L,
2025-06-29 14:37:06,ADA/USDT,W,2.0
2025-06-29 14:41:06,ADA/USDT,W,2.0
2025-06-29 14:47:06,ADA/USDT,L,
2025-06-29 14:53:06,ADA/USDT,L,
2025-06-29 14:55:05,BTC/USDT,W,1.0
2025-06-29 15:03:07,SOL/USDT,L,
2025-06-29 15:05:06,BTC/USDT,W,1.0
2025-06-29 15:07:06,BTC/USDT,W,1.0
2025-06-29 15:13:06,BTC/USDT,L,
2025-06-29 15:17:06,ETH/USDT,W,2.0
2025-06-29 15:29:07,ADA/USDT,L,
2025-06-29 15:33:07,ETH/USDT,W,2.0
2025-06-29 15:39:06,ADA/USDT,L,
2025-06-29 15:45:06,BTC/USDT,L,
2025-06-29 15:47:06,BTC/USDT,W,1.0
2025-06-29 15:51:06,BTC/USDT,W,2.0
2025-06-29 15:53:06,BTC/USDT,W,1.0
2025-06-29 15:59:06,BTC/USDT,L,
2025-06-29 16:01:05,SOL/USDT,W,1.0
2025-06-29 16:07:07,ADA/USDT,L,
2025-06-29 16:11:06,XRP/USDT,W,1.0
2025-06-29 16:17:06,ETH/USDT,L,
2025-06-29 16:23:06,ADA/USDT,L,
2025-06-29 16:25:06,ADA/USDT,W,1.0
2025-06-29 16:31:06,BTC/USDT,L,
2025-06-29 16:35:06,XRP/USDT,W,2.0
2025-06-29 16:37:06,ADA/USDT,W,1.0
2025-06-29 16:43:06,SOL/USDT,L,
2025-06-29 16:49:06,BTC/USDT,L,
2025-06-29 16:53:06,ADA/USDT,W,2.0
2025-06-29 16:57:06,ADA/USDT,W,2.0
2025-06-29 16:59:06,SOL/USDT,W,1.0
2025-06-29 17:05:06,XRP/USDT,L,
2025-06-29 17:11:06,BTC/USDT,L,
2025-06-29 17:17:06,XRP/USDT,L,
2025-06-29 17:19:06,BTC/USDT,W,1.0
2025-06-29 17:23:07,BTC/USDT,W,2.0
2025-06-29 17:27:06,BTC/USDT,W,2.0
2025-06-29 17:31:06,BTC/USDT,W,2.0
2025-06-29 17:35:06,ADA/USDT,W,2.0
2025-06-29 17:37:06,ADA/USDT,W,1.0
2025-06-29 17:39:06,ADA/USDT,W,1.0
2025-06-29 17:41:06,SOL/USDT,W,1.0
2025-06-29 17:47:06,ETH/USDT,L,
2025-06-29 17:52:06,XRP/USDT,W,1.0
2025-06-29 18:00:07,XRP/USDT,L,
2025-06-29 18:02:05,BTC/USDT,W,1.0
2025-06-29 18:06:06,ADA/USDT,W,2.0
2025-06-29 18:08:06,ETH/USDT,W,1.0
2025-06-29 18:10:06,BTC/USDT,W,1.0
2025-06-29 18:14:07,ETH/USDT,W,2.0
2025-06-29 18:16:06,ETH/USDT,W,1.0
2025-06-29 18:20:06,XRP/USDT,W,2.0
2025-06-29 18:24:06,SOL/USDT,W,2.0
2025-06-29 18:26:06,SOL/USDT,W,1.0
2025-06-29 18:32:06,SOL/USDT,L,
2025-06-29 18:34:05,ETH/USDT,W,1.0
2025-06-29 18:36:06,ETH/USDT,W,1.0
2025-06-29 18:38:06,ETH/USDT,W,1.0
2025-06-29 18:40:06,XRP/USDT,W,1.0
2025-06-29 18:48:06,ETH/USDT,L,
2025-06-29 18:50:05,BTC/USDT,W,1.0
2025-06-29 18:52:06,BTC/USDT,W,1.0
2025-06-29 18:54:06,BTC/USDT,W,1.0
2025-06-29 19:00:07,BTC/USDT,W,2.0
2025-06-29 19:02:06,XRP/USDT,W,1.0
2025-06-29 19:04:06,XRP/USDT,W,1.0
2025-06-29 19:06:05,SOL/USDT,W,1.0
2025-06-29 19:08:05,XRP/USDT,W,1.0
2025-06-29 19:12:06,ADA/USDT,W,2.0
2025-06-29 19:14:05,ADA/USDT,W,1.0
2025-06-29 19:18:07,SOL/USDT,W,2.0
2025-06-29 19:20:06,BTC/USDT,W,1.0
2025-06-29 19:22:05,ADA/USDT,W,1.0
2025-06-29 19:28:06,SOL/USDT,W,2.0
2025-06-29 19:36:06,SOL/USDT,L,
2025-06-29 19:40:06,XRP/USDT,W,2.0
2025-06-29 19:42:05,XRP/USDT,W,1.0
2025-06-29 19:50:06,ADA/USDT,L,
2025-06-29 19:52:06,XRP/USDT,W,1.0
2025-06-29 19:58:06,ETH/USDT,W,2.0
2025-06-29 20:00:08,ADA/USDT,W,1.0
2025-06-29 20:02:06,XRP/USDT,W,1.0
2025-06-29 20:06:06,XRP/USDT,W,1.0
2025-06-29 20:11:06,ETH/USDT,W,1.0
2025-06-29 20:17:06,ETH/USDT,L,
2025-06-29 20:19:05,SOL/USDT,W,1.0
2025-06-29 20:23:06,XRP/USDT,W,2.0
2025-06-29 20:27:06,BTC/USDT,W,2.0
2025-06-29 20:31:06,BTC/USDT,W,2.0
2025-06-29 20:37:06,ETH/USDT,W,2.0
2025-06-29 20:39:05,SOL/USDT,W,1.0
2025-06-29 20:41:05,ADA/USDT,W,1.0
2025-06-29 20:45:06,BTC/USDT,W,2.0
2025-06-29 20:47:05,SOL/USDT,W,1.0
2025-06-29 20:49:06,ADA/USDT,W,1.0
2025-06-29 20:53:07,ADA/USDT,W,2.0
2025-06-29 20:55:06,ADA/USDT,W,1.0
2025-06-29 21:01:07,ADA/USDT,L,
2025-06-29 21:09:06,XRP/USDT,L,
2025-06-29 21:11:06,ETH/USDT,W,1.0
2025-06-29 21:13:05,XRP/USDT,W,1.0
2025-06-29 21:17:06,BTC/USDT,W,2.0
2025-06-29 21:19:06,XRP/USDT,W,1.0
2025-06-29 21:21:05,ADA/USDT,W,1.0
2025-06-29 21:25:06,ADA/USDT,W,2.0
2025-06-29 21:29:06,ETH/USDT,W,2.0
2025-06-29 21:35:06,ADA/USDT,W,1.0
2025-06-29 21:39:06,ADA/USDT,W,2.0
2025-06-29 21:41:06,SOL/USDT,W,1.0
2025-06-29 21:43:06,SOL/USDT,W,1.0
2025-06-29 21:47:07,SOL/USDT,W,2.0
2025-06-29 21:51:06,SOL/USDT,W,2.0
2025-06-29 21:53:06,ETH/USDT,W,1.0
2025-06-29 21:57:06,ADA/USDT,W,2.0
2025-06-29 22:01:06,XRP/USDT,W,2.0
2025-06-29 22:03:06,SOL/USDT,W,1.0
