timestamp,asset,result,attempt
2025-06-27 06:06:06,XRP/USDT,L,
2025-06-27 06:06:06,XRP/USDT,L,
2025-06-27 06:08:05,SOL/USDT,W,1.0
2025-06-27 06:08:05,SOL/USDT,W,1.0
2025-06-27 06:12:06,SOL/USDT,W,1.0
2025-06-27 06:12:06,SOL/USDT,W,1.0
2025-06-27 06:14:06,BTC/USDT,W,1.0
2025-06-27 06:14:06,BTC/USDT,W,1.0
2025-06-27 06:16:06,ADA/USDT,W,1.0
2025-06-27 06:16:06,ADA/USDT,W,1.0
2025-06-27 06:24:06,XRP/USDT,L,
2025-06-27 06:24:06,XRP/USDT,L,
2025-06-27 06:32:06,ETH/USDT,L,
2025-06-27 06:32:06,ETH/USDT,L,
2025-06-27 06:34:06,XRP/USDT,W,1.0
2025-06-27 06:34:06,XRP/USDT,W,1.0
2025-06-27 06:38:07,ETH/USDT,W,2.0
2025-06-27 06:38:07,ETH/USDT,W,2.0
2025-06-27 06:47:06,BTC/USDT,W,1.0
2025-06-27 06:47:06,BTC/USDT,W,1.0
2025-06-27 06:53:06,XRP/USDT,L,
2025-06-27 06:53:06,XRP/USDT,L,
2025-06-27 06:59:06,XRP/USDT,L,
2025-06-27 06:59:06,XRP/USDT,L,
2025-06-27 07:05:06,XRP/USDT,L,
2025-06-27 07:05:06,XRP/USDT,L,
2025-06-27 07:13:06,ADA/USDT,L,
2025-06-27 07:13:06,ADA/USDT,L,
2025-06-27 07:19:06,ADA/USDT,L,
2025-06-27 07:19:06,ADA/USDT,L,
2025-06-27 07:21:05,ADA/USDT,W,1.0
2025-06-27 07:21:05,ADA/USDT,W,1.0
2025-06-27 07:23:06,ADA/USDT,W,1.0
2025-06-27 07:23:06,ADA/USDT,W,1.0
2025-06-27 07:25:06,ADA/USDT,W,1.0
2025-06-27 07:25:06,ADA/USDT,W,1.0
2025-06-27 07:29:07,ADA/USDT,W,2.0
2025-06-27 07:29:07,ADA/USDT,W,2.0
2025-06-27 07:31:05,ADA/USDT,W,1.0
2025-06-27 07:31:05,ADA/USDT,W,1.0
2025-06-27 07:35:06,XRP/USDT,W,2.0
2025-06-27 07:35:06,XRP/USDT,W,2.0
2025-06-27 07:37:06,ADA/USDT,W,1.0
2025-06-27 07:37:06,ADA/USDT,W,1.0
2025-06-27 07:39:06,ADA/USDT,W,1.0
2025-06-27 07:39:06,ADA/USDT,W,1.0
2025-06-27 07:43:06,ADA/USDT,W,2.0
2025-06-27 07:43:06,ADA/USDT,W,2.0
2025-06-27 07:49:07,ADA/USDT,L,
2025-06-27 07:49:07,ADA/USDT,L,
2025-06-27 07:53:06,ADA/USDT,W,2.0
2025-06-27 07:53:06,ADA/USDT,W,2.0
2025-06-27 07:55:06,ADA/USDT,W,1.0
2025-06-27 07:55:06,ADA/USDT,W,1.0
2025-06-27 08:01:07,ADA/USDT,L,
2025-06-27 08:01:07,ADA/USDT,L,
2025-06-27 08:07:06,XRP/USDT,L,
2025-06-27 08:07:06,XRP/USDT,L,
2025-06-27 08:09:05,ADA/USDT,W,1.0
2025-06-27 08:09:05,ADA/USDT,W,1.0
2025-06-27 08:11:06,ADA/USDT,W,1.0
2025-06-27 08:11:06,ADA/USDT,W,1.0
2025-06-27 08:15:06,ADA/USDT,W,1.0
2025-06-27 08:15:06,ADA/USDT,W,1.0
2025-06-27 08:17:06,XRP/USDT,W,1.0
2025-06-27 08:17:06,XRP/USDT,W,1.0
2025-06-27 08:28:06,SOL/USDT,L,
2025-06-27 08:28:06,SOL/USDT,L,
2025-06-27 08:32:06,ADA/USDT,W,2.0
2025-06-27 08:32:06,ADA/USDT,W,2.0
2025-06-27 08:38:06,XRP/USDT,L,
2025-06-27 08:38:06,XRP/USDT,L,
2025-06-27 08:40:06,XRP/USDT,W,1.0
2025-06-27 08:40:06,XRP/USDT,W,1.0
2025-06-27 08:46:06,ADA/USDT,L,
2025-06-27 08:46:06,ADA/USDT,L,
2025-06-27 08:48:06,ADA/USDT,W,1.0
2025-06-27 08:48:06,ADA/USDT,W,1.0
2025-06-27 08:50:06,XRP/USDT,W,1.0
2025-06-27 08:50:06,XRP/USDT,W,1.0
2025-06-27 08:52:06,XRP/USDT,W,1.0
2025-06-27 08:52:06,XRP/USDT,W,1.0
2025-06-27 08:56:06,ADA/USDT,W,2.0
2025-06-27 08:56:06,ADA/USDT,W,2.0
2025-06-27 08:58:05,ETH/USDT,W,1.0
2025-06-27 08:58:05,ETH/USDT,W,1.0
2025-06-27 09:02:05,ADA/USDT,W,1.0
2025-06-27 09:02:05,ADA/USDT,W,1.0
2025-06-27 09:06:07,ADA/USDT,W,2.0
2025-06-27 09:06:07,ADA/USDT,W,2.0
2025-06-27 09:08:05,BTC/USDT,W,1.0
2025-06-27 09:08:05,BTC/USDT,W,1.0
2025-06-27 09:14:06,ADA/USDT,L,
2025-06-27 09:14:06,ADA/USDT,L,
2025-06-27 09:20:06,BTC/USDT,W,2.0
2025-06-27 09:20:06,BTC/USDT,W,2.0
2025-06-27 09:24:05,XRP/USDT,W,1.0
2025-06-27 09:24:05,XRP/USDT,W,1.0
2025-06-27 09:26:06,SOL/USDT,W,1.0
2025-06-27 09:26:06,SOL/USDT,W,1.0
2025-06-27 09:34:06,XRP/USDT,L,
2025-06-27 09:34:06,XRP/USDT,L,
2025-06-27 09:38:06,XRP/USDT,W,2.0
2025-06-27 09:38:06,XRP/USDT,W,2.0
2025-06-27 09:44:06,ADA/USDT,L,
2025-06-27 09:44:06,ADA/USDT,L,
2025-06-27 09:46:05,BTC/USDT,W,1.0
2025-06-27 09:46:05,BTC/USDT,W,1.0
2025-06-27 09:50:06,ADA/USDT,W,2.0
2025-06-27 09:50:06,ADA/USDT,W,2.0
2025-06-27 09:54:06,ADA/USDT,W,2.0
2025-06-27 09:54:06,ADA/USDT,W,2.0
2025-06-27 10:00:06,ADA/USDT,L,
2025-06-27 10:00:06,ADA/USDT,L,
2025-06-27 10:04:06,SOL/USDT,W,2.0
2025-06-27 10:04:06,SOL/USDT,W,2.0
2025-06-27 10:08:06,ADA/USDT,W,2.0
2025-06-27 10:08:06,ADA/USDT,W,2.0
2025-06-27 10:10:06,ETH/USDT,W,1.0
2025-06-27 10:10:06,ETH/USDT,W,1.0
2025-06-27 10:12:06,ETH/USDT,W,1.0
2025-06-27 10:12:06,ETH/USDT,W,1.0
2025-06-27 10:23:06,ETH/USDT,W,2.0
2025-06-27 10:23:06,ETH/USDT,W,2.0
2025-06-27 10:31:06,ADA/USDT,L,
2025-06-27 10:31:06,ADA/USDT,L,
2025-06-27 10:37:06,XRP/USDT,L,
2025-06-27 10:37:06,XRP/USDT,L,
2025-06-27 10:43:06,XRP/USDT,W,2.0
2025-06-27 10:43:06,XRP/USDT,W,2.0
2025-06-27 10:48:05,ETH/USDT,W,1.0
2025-06-27 10:48:05,ETH/USDT,W,1.0
2025-06-27 10:50:05,BTC/USDT,W,1.0
2025-06-27 10:50:05,BTC/USDT,W,1.0
2025-06-27 10:54:06,ADA/USDT,W,2.0
2025-06-27 10:54:06,ADA/USDT,W,2.0
2025-06-27 10:56:06,ETH/USDT,W,1.0
2025-06-27 10:56:06,ETH/USDT,W,1.0
2025-06-27 11:04:06,BTC/USDT,L,
2025-06-27 11:04:06,BTC/USDT,L,
2025-06-27 11:12:06,SOL/USDT,L,
2025-06-27 11:12:06,SOL/USDT,L,
2025-06-27 11:18:06,ADA/USDT,L,
2025-06-27 11:18:06,ADA/USDT,L,
2025-06-27 11:20:05,SOL/USDT,W,1.0
2025-06-27 11:20:05,SOL/USDT,W,1.0
2025-06-27 11:26:06,SOL/USDT,L,
2025-06-27 11:26:06,SOL/USDT,L,
2025-06-27 11:30:05,SOL/USDT,W,1.0
2025-06-27 11:30:05,SOL/USDT,W,1.0
2025-06-27 11:32:05,XRP/USDT,W,1.0
2025-06-27 11:32:05,XRP/USDT,W,1.0
2025-06-27 11:36:06,ETH/USDT,W,2.0
2025-06-27 11:36:06,ETH/USDT,W,2.0
2025-06-27 11:38:06,ADA/USDT,W,1.0
2025-06-27 11:38:06,ADA/USDT,W,1.0
2025-06-27 11:44:06,ADA/USDT,L,
2025-06-27 11:44:06,ADA/USDT,L,
2025-06-27 11:46:06,ADA/USDT,W,1.0
2025-06-27 11:46:06,ADA/USDT,W,1.0
2025-06-27 11:52:06,XRP/USDT,L,
2025-06-27 11:52:06,XRP/USDT,L,
2025-06-27 11:54:06,XRP/USDT,W,1.0
2025-06-27 11:54:06,XRP/USDT,W,1.0
2025-06-27 11:58:06,ADA/USDT,W,2.0
2025-06-27 11:58:06,ADA/USDT,W,2.0
2025-06-27 12:00:06,ADA/USDT,W,1.0
2025-06-27 12:00:06,ADA/USDT,W,1.0
2025-06-27 12:02:06,XRP/USDT,W,1.0
2025-06-27 12:02:06,XRP/USDT,W,1.0
2025-06-27 12:06:07,ADA/USDT,W,2.0
2025-06-27 12:06:07,ADA/USDT,W,2.0
2025-06-27 12:12:06,ADA/USDT,L,
2025-06-27 12:12:06,ADA/USDT,L,
2025-06-27 12:14:06,ADA/USDT,W,1.0
2025-06-27 12:14:06,ADA/USDT,W,1.0
2025-06-27 12:18:06,ADA/USDT,W,2.0
2025-06-27 12:18:06,ADA/USDT,W,2.0
2025-06-27 12:20:05,ADA/USDT,W,1.0
2025-06-27 12:20:05,ADA/USDT,W,1.0
2025-06-27 12:44:07,ETH/USDT,W,2.0
2025-06-27 12:44:07,ETH/USDT,W,2.0
2025-06-27 12:50:06,BTC/USDT,L,
2025-06-27 12:50:06,BTC/USDT,L,
2025-06-27 13:00:06,BTC/USDT,L,
2025-06-27 13:00:06,BTC/USDT,L,
2025-06-27 13:06:06,SOL/USDT,W,2.0
2025-06-27 13:06:06,SOL/USDT,W,2.0
2025-06-27 13:14:06,BTC/USDT,L,
2025-06-27 13:14:06,BTC/USDT,L,
2025-06-27 13:23:06,ADA/USDT,L,
2025-06-27 13:23:06,ADA/USDT,L,
2025-06-27 13:25:05,ADA/USDT,W,1.0
2025-06-27 13:25:05,ADA/USDT,W,1.0
2025-06-27 13:30:06,BTC/USDT,W,1.0
2025-06-27 13:30:06,BTC/USDT,W,1.0
2025-06-27 13:36:06,BTC/USDT,L,
2025-06-27 13:36:06,BTC/USDT,L,
2025-06-27 13:44:06,ADA/USDT,W,2.0
2025-06-27 13:44:06,ADA/USDT,W,2.0
2025-06-27 13:48:06,SOL/USDT,W,1.0
2025-06-27 13:48:06,SOL/USDT,W,1.0
2025-06-27 13:50:06,ADA/USDT,W,1.0
2025-06-27 13:50:06,ADA/USDT,W,1.0
2025-06-27 13:52:06,ADA/USDT,W,1.0
2025-06-27 13:52:06,ADA/USDT,W,1.0
2025-06-27 13:57:06,ETH/USDT,W,1.0
2025-06-27 13:57:06,ETH/USDT,W,1.0
2025-06-27 14:03:07,ADA/USDT,L,
2025-06-27 14:03:07,ADA/USDT,L,
2025-06-27 14:09:07,SOL/USDT,L,
2025-06-27 14:09:07,SOL/USDT,L,
